DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2013-01-02,BRIT,Britam Holdings Plc,5.7,10.65,5.9,6.25,6.05,6,0.05,0.83%,"173,400",0
2013-01-02,CIC,CIC Insurance Group Ltd,2,3.85,3.5,3.6,3.5,3.55,-0.05,1.41%,"281,800",2.92
2013-01-02,JUB,Jubilee Holdings Ltd,240,400,174,180,175.0,173,2,1.16%,"3,000",144.63
2013-01-02,KNRE,Kenya Re-Insurance Corporation Ltd,2.1,4.36,10.7,11,10.9,10.7,0.2,1.87%,"14,400",2.73
2013-01-02,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,6.75,6.75,6.75,6.7,0.05,0.75%,"4,000",0
2013-01-02,SLAM,Sanlam Kenya Plc,13.5,20.5,40.25,40.25,40.25,40.25,0,0,"1,400",26.83
2013-01-03,BRIT,Britam Holdings Plc,5.7,10.65,6,6.35,6.05,6.05,0,0,"140,300",0
2013-01-03,CIC,CIC Insurance Group Ltd,2,3.65,3.4,3.5,3.45,3.5,-0.05,1.43%,"177,900",2.88
2013-01-03,JUB,Jubilee Holdings Ltd,225,380.5,178,185,182.0,175,7,4.00%,"14,000",150.41
2013-01-03,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,10.9,11.05,10.95,10.9,0.05,0.46%,"53,900",2.74
2013-01-03,LBTY,Liberty Kenya Holdings Ltd,6.8,11,7,7,7.0,6.75,0.25,3.70%,100,0
2013-01-03,SLAM,Sanlam Kenya Plc,12.8,20,40.25,40.25,40.25,40.25,0,0,200,26.83
2013-01-04,BRIT,Britam Holdings Plc,5.7,10.65,6.05,6.3,6.05,6.05,0,0,"107,400",0
2013-01-04,CIC,CIC Insurance Group Ltd,2,3.65,3.4,3.5,3.4,3.45,-0.05,1.45%,"238,600",2.83
2013-01-04,JUB,Jubilee Holdings Ltd,225,380,180,180,180.0,182,-2,1.10%,700,148.76
2013-01-04,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,11,11.15,11.1,10.95,0.15,1.37%,"159,600",2.78
2013-01-04,LBTY,Liberty Kenya Holdings Ltd,6.8,11,7,7,7.0,7,0,0,"13,700",0
2013-01-04,SLAM,Sanlam Kenya Plc,12.8,20,41,41,41.0,40.25,0.75,1.86%,200,27.33
2013-01-07,BRIT,Britam Holdings Plc,5.7,10.65,6,6.3,6.05,6.05,0,0,"127,800",0
2013-01-07,CIC,CIC Insurance Group Ltd,2,3.65,3.4,3.5,3.4,3.4,0,0,"228,200",2.83
2013-01-07,JUB,Jubilee Holdings Ltd,225,380.5,186,198,194.0,180,14,7.78%,300,160.33
2013-01-07,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,10.95,11.25,11.05,11.1,-0.05,0.45%,"60,900",2.76
2013-01-07,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.9,7,-0.1,1.43%,"65,600",0
2013-01-07,SLAM,Sanlam Kenya Plc,12.8,20,41,45,41.0,41,0,0,"14,300",27.33
2013-01-08,BRIT,Britam Holdings Plc,5.7,10.65,6.05,6.2,6.05,6.05,0,0,"362,200",0
2013-01-08,CIC,CIC Insurance Group Ltd,2,3.65,3.45,3.5,3.45,3.4,0.05,1.47%,"671,500",2.88
2013-01-08,JUB,Jubilee Holdings Ltd,225,380.5,194,194,194.0,194,0,0,100,160.33
2013-01-08,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,11.1,11.2,11.1,11.05,0.05,0.45%,"11,300",2.78
2013-01-08,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.75,6.9,6.8,6.9,-0.1,1.45%,"19,300",0
2013-01-08,SLAM,Sanlam Kenya Plc,12.8,20,41,41,41.0,41,0,0,"39,400",27.33
2013-01-09,BRIT,Britam Holdings Plc,5.7,10.65,6.1,6.4,6.1,6.05,0.05,0.83%,"289,200",0
2013-01-09,CIC,CIC Insurance Group Ltd,2,3.65,3.45,3.6,3.45,3.45,0,0,"1,145,200",2.88
2013-01-09,JUB,Jubilee Holdings Ltd,225,380,194,194,194.0,194,0,0,"1,400",160.33
2013-01-09,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,11.15,11.5,11.45,11.1,0.35,3.15%,"761,900",2.86
2013-01-09,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.8,6.9,6.8,6.8,0,0,"55,300",0
2013-01-09,SLAM,Sanlam Kenya Plc,12.8,19.55,40,41,40.75,41,-0.25,0.61%,"80,300",27.17
2013-01-10,BRIT,Britam Holdings Plc,5.7,10.65,6.15,6.4,6.35,6.1,0.25,4.10%,"130,800",0
2013-01-10,CIC,CIC Insurance Group Ltd,2,3.65,3.5,4,3.65,3.45,0.2,5.80%,"1,360,100",3.04
2013-01-10,JUB,Jubilee Holdings Ltd,225,380,194,194,194.0,194,0,0,"1,600",160.33
2013-01-10,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,11.2,11.5,11.45,11.45,0,0,"124,200",2.86
2013-01-10,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.8,7,6.95,6.8,0.15,2.21%,"143,100",0
2013-01-10,SLAM,Sanlam Kenya Plc,12.8,19.55,41,44.75,41.25,40.75,0.5,1.23%,"107,900",27.5
2013-01-11,BRIT,Britam Holdings Plc,5.7,10.65,6.2,6.45,6.3,6.35,-0.05,0.79%,"74,000",0
2013-01-11,CIC,CIC Insurance Group Ltd,2,3.65,3.6,3.8,3.65,3.65,0,0,"512,900",3.04
2013-01-11,JUB,Jubilee Holdings Ltd,225,380,194,200,194.0,194,0,0,"16,000",160.33
2013-01-11,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,11.3,11.45,11.35,11.45,-0.1,0.87%,"40,400",2.84
2013-01-11,LBTY,Liberty Kenya Holdings Ltd,6.8,11,6.9,7,6.95,6.95,0,0,"172,500",0
2013-01-11,SLAM,Sanlam Kenya Plc,12.8,20,41.5,42,41.75,41.25,0.5,1.21%,"18,300",27.83
2013-01-14,BRIT,Britam Holdings Plc,5.7,10.65,6.15,6.45,6.25,6.3,-0.05,0.79%,"182,900",0
2013-01-14,CIC,CIC Insurance Group Ltd,2,3.65,3.55,3.75,3.65,3.65,0,0,"775,900",3.04
2013-01-14,JUB,Jubilee Holdings Ltd,225,380,194,194,194.0,194,0,0,"2,000",160.33
2013-01-14,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,11.3,12.15,11.5,11.35,0.15,1.32%,"126,300",2.88
2013-01-14,LBTY,Liberty Kenya Holdings Ltd,6.8,10.95,6.95,7,6.95,6.95,0,0,"189,800",0
2013-01-14,SLAM,Sanlam Kenya Plc,12.8,19.5,41.75,42,41.75,41.75,0,0,"3,400",27.83
2013-01-15,BRIT,Britam Holdings Plc,5.7,10.65,6.2,6.4,6.3,6.25,0.05,0.80%,"175,800",0
2013-01-15,CIC,CIC Insurance Group Ltd,2,3.65,3.6,3.75,3.65,3.65,0,0,"1,824,800",3.04
